City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Prince Rupert,CA,54.3161,-130.3201,50.09,63,1,4.61,clear sky
323,Balgazyn,RU,51.0,95.2,40.86,78,100,2.51,overcast clouds
324,Agadez,NE,19.75,10.25,75.76,16,0,10.25,clear sky
325,Pando,UY,-34.7167,-55.95,51.98,59,8,12.1,clear sky
326,Gisborne,NZ,-38.6533,178.0042,63.95,77,100,15.68,overcast clouds
327,Sunland Park,US,31.7965,-106.58,84.65,25,1,1.99,clear sky
328,Saint-Joseph,RE,-21.3667,55.6167,68.38,83,32,5.82,scattered clouds
329,Henties Bay,NA,-22.116,14.2845,54.86,86,22,2.89,few clouds
330,Chapais,CA,49.7834,-74.8492,55.18,77,100,3.62,overcast clouds
331,Salalah,OM,17.0151,54.0924,80.69,83,75,3.44,broken clouds
332,Visby,SE,57.6409,18.296,55.85,100,90,6.91,mist
333,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,100,2.59,overcast clouds
334,Novo Aripuana,BR,-5.1206,-60.3797,84.29,50,100,1.57,overcast clouds
335,Tocopilla,CL,-22.092,-70.1979,64.54,61,94,0.56,overcast clouds
336,Inirida,CO,3.8653,-67.9239,74.44,97,100,1.59,overcast clouds
337,Warrnambool,AU,-38.3833,142.4833,54.81,56,100,15.86,overcast clouds
338,Porto Novo,BJ,6.4965,2.6036,76.82,88,100,3.69,overcast clouds
339,Komsomolskiy,UZ,40.4272,71.7189,49.42,81,40,6.91,scattered clouds
340,Haldibari,IN,26.3333,88.7667,77.18,86,31,4.41,scattered clouds
341,Khor,RU,47.8861,134.9464,48.34,40,59,5.68,broken clouds
342,Kouroussa,GN,10.65,-9.8833,74.3,84,52,2.35,broken clouds
343,Batagay,RU,67.6333,134.6333,31.32,49,100,8.93,overcast clouds
344,Sawakin,SD,19.1059,37.3321,82.74,67,3,8.46,clear sky
345,Dauriya,RU,49.9333,116.8667,44.69,48,7,13.22,clear sky
