City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Farmington,US,70.48,few clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
280,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
281,Sawtell,AU,71.92,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
282,Negombo,LK,75.25,few clouds,7.2083,79.8358,Hotel Sunset Beach
283,Ahipara,NZ,60.26,light rain,-35.1667,173.1667,Ahipara Holiday Park
284,Clarksville,US,72.09,few clouds,36.5298,-87.3595,Riverview Inn
285,Kavieng,PG,82.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
286,Hami,CN,53.89,overcast clouds,42.8,93.45,Laoyutang Resort
287,Hervey Bay,AU,82.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
293,Noshiro,JP,56.34,scattered clouds,40.2039,140.0242,Azuma Ryokan
294,Wexford,IE,59.67,broken clouds,52.3342,-6.4575,Talbot Hotel Wexford
299,Pedernales,DO,82.47,broken clouds,18.0384,-71.744,Hotel Costa Marina
302,Soyo,AO,75.87,overcast clouds,-6.1349,12.3689,Hotel Mpampa
303,Puerto Madryn,AR,50.52,clear sky,-42.7692,-65.0385,Hotel Tolosa
305,Menongue,AO,60.17,overcast clouds,-14.6585,17.691,Ritz Lauca
307,Ialibu,PG,66.83,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
308,Tyristrand,NO,50.22,overcast clouds,60.0837,10.0966,Hovin Laft AS
309,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
315,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
316,Wanning,CN,80.55,light rain,18.8003,110.3967,Paradise Hotel
318,Miles City,US,81.57,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
319,Miramar,US,84.22,clear sky,25.9873,-80.2323,Miramar
321,Port Blair,IN,80.38,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
322,Prince Rupert,CA,50.09,clear sky,54.3161,-130.3201,Crest Hotel
325,Pando,UY,51.98,clear sky,-34.7167,-55.95,viviendas mvotma
326,Gisborne,NZ,63.95,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
